sofifa_id,short_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,value_eur,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,team_jersey_number,contract_valid_until,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,player_position_encoded,is_goalkeeper,is_right_foot,is_left_foot
200389,J. Oblak,27,1993-01-07,188,87,4.23925,4.35904,4.30119,1.0,91,93,18.133,125000,3,3,1,18.72079,13.0,2023.0,87.0,92.0,78.0,90.0,52.0,90.0,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,12,18,87,92,78,90,90,33+3,33+3,33+3,32+0,35+0,35+0,35+0,32+0,38+3,38+3,38+3,35+3,38+3,38+3,38+3,35+3,32+3,36+3,36+3,36+3,32+3,32+3,33+3,33+3,33+3,32+3,64.50657574281539,1,1,0
192448,M. ter Stegen,28,1992-04-30,187,85,4.20005,4.38089,4.30119,1.0,90,93,18.05684,260000,3,4,1,18.64462,1.0,2022.0,88.0,85.0,88.0,90.0,45.0,88.0,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,13,10,88,85,88,88,90,35+3,35+3,35+3,34+0,38+0,38+0,38+0,34+0,42+3,42+3,42+3,39+3,45+3,45+3,45+3,39+3,33+3,41+3,41+3,41+3,33+3,31+3,33+3,33+3,33+3,31+3,64.50657574281539,1,1,0
212831,Alisson,27,1992-10-02,191,91,4.27572,4.37671,4.30551,1.0,90,91,17.95068,160000,3,3,1,18.53846,1.0,2024.0,86.0,88.0,85.0,89.0,51.0,91.0,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,19,16,86,88,85,91,89,36+3,36+3,36+3,35+0,38+0,38+0,38+0,35+0,40+3,40+3,40+3,38+3,40+3,40+3,40+3,38+3,31+3,35+3,35+3,35+3,31+3,30+3,30+3,30+3,30+3,30+3,64.50657574281539,1,1,0
192119,T. Courtois,28,1992-05-11,199,96,4.2282,4.38515,4.30119,1.0,89,90,17.84086,250000,4,3,1,18.42865,1.0,2024.0,84.0,89.0,74.0,88.0,48.0,85.0,14,14,13,33,12,13,19,20,35,23,42,52,61,84,45,56,68,38,70,17,23,15,13,44,27,66,18,16,84,89,74,85,88,31+3,31+3,31+3,29+0,31+0,31+0,31+0,29+0,32+3,32+3,32+3,31+3,32+3,32+3,32+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,64.50657574281539,1,0,1
167495,M. Neuer,34,1986-03-27,193,92,4.20005,4.40703,4.28582,1.0,89,89,17.18281,125000,5,4,1,17.77059,1.0,2023.0,87.0,87.0,91.0,89.0,57.0,86.0,15,13,25,55,11,30,14,11,59,46,54,60,51,86,35,68,77,43,80,16,29,30,12,70,47,70,10,11,87,87,91,86,89,39+3,39+3,39+3,40+0,43+0,43+0,43+0,40+0,46+3,46+3,46+3,43+3,48+3,48+3,48+3,43+3,36+3,42+3,42+3,42+3,36+3,34+3,34+3,34+3,34+3,34+3,64.50657574281539,1,1,0
210257,Ederson,26,1993-08-17,188,86,4.27572,4.36291,4.30551,1.0,88,91,17.79519,195000,2,3,1,18.38298,31.0,2024.0,86.0,82.0,93.0,88.0,63.0,86.0,20,14,14,57,18,23,15,20,59,40,64,63,60,87,48,70,66,41,78,18,38,27,20,70,17,70,15,8,86,82,93,86,88,39+2,39+2,39+2,40+0,43+0,43+0,43+0,40+0,46+2,46+2,46+2,44+2,47+2,47+2,47+2,44+2,37+2,43+2,43+2,43+2,37+2,35+2,35+2,35+2,35+2,35+2,64.50657574281539,1,0,1
162835,S. Handanovič,35,1984-07-14,193,92,4.23925,4.36945,4.28315,1.0,88,88,16.5881,100000,3,3,1,17.17589,1.0,2021.0,88.0,85.0,73.0,89.0,53.0,89.0,12,10,10,42,12,18,12,14,40,16,51,55,47,83,36,55,78,41,71,19,25,22,12,41,23,69,10,13,88,85,73,89,89,31+3,31+3,31+3,29+0,31+0,31+0,31+0,29+0,32+3,32+3,32+3,32+3,34+3,34+3,34+3,32+3,30+3,33+3,33+3,33+3,30+3,29+3,30+3,30+3,30+3,29+3,64.50657574281539,1,1,0
167948,H. Lloris,33,1986-12-26,188,82,4.22209,4.35981,4.30551,1.0,87,87,17.11135,125000,4,1,1,17.69913,1.0,2022.0,89.0,82.0,68.0,90.0,63.0,84.0,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,51,74,41,43,14,31,27,10,30,40,65,10,18,89,82,68,84,90,31+3,31+3,31+3,32+0,33+0,33+0,33+0,32+0,35+3,35+3,35+3,35+3,37+3,37+3,37+3,35+3,35+3,37+3,37+3,37+3,35+3,34+3,30+3,30+3,30+3,34+3,64.50657574281539,1,0,1
186153,W. Szczęsny,30,1990-04-18,195,90,4.16189,4.36289,4.28315,1.0,87,87,17.34187,105000,3,3,1,17.92966,1.0,2024.0,86.0,82.0,73.0,88.0,49.0,87.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,13,12,86,82,73,87,88,31+3,31+3,31+3,28+0,31+0,31+0,31+0,28+0,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,28+3,31+3,31+3,31+3,28+3,28+3,29+3,29+3,29+3,28+3,64.50657574281539,1,1,0
193041,K. Navas,33,1986-12-15,185,80,4.22809,4.35405,4.26303,1.0,87,87,17.11135,110000,3,3,1,17.69913,1.0,2023.0,90.0,81.0,75.0,90.0,53.0,82.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,14,14,90,81,75,82,90,32+3,32+3,32+3,31+0,33+0,33+0,33+0,31+0,35+3,35+3,35+3,33+3,35+3,35+3,35+3,33+3,29+3,33+3,33+3,33+3,29+3,29+3,31+3,31+3,31+3,29+3,64.50657574281539,1,1,0
